pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,ladies_points,time_secs,delta_secs,wkg,country,time_human,delta_human
47,/user/177844,Tom  Moss ,SDW,SOUTHBOROUGH (SDW) STINGERS,True,,,1474.5,812.626,3.9,UK,24:34.500,13:32.626
48,/user/159111,Witek Rzeszutek [ṀṚ],,,,,,1480.1,818.199,3.74,,24:40.100,13:38.199
49,/user/262464,Thomas  Berthold,,,,,,1480.2,818.307,3.86,,24:40.200,13:38.307
50,/user/307893,Karol Kupczak,,,,,,1489.5,827.574,3.49,,24:49.500,13:47.574
51,/user/129003,Andrzej Krajewski ЯƦ,яʀ,,,,,1491.0,829.103,3.77,Poland,24:51.000,13:49.103
52,/user/177199,Julian Fussell sdw,SDW,SOUTHBOROUGH (SDW) HORNETS,True,,,1491.3,829.386,3.67,UK,24:51.300,13:49.386
53,/user/278412,Peter Dickason,,,,,,1498.8,836.901,3.66,,24:58.800,13:56.901
54,/user/177527,Patxi Arribas (m),,,,,,1501.9,839.96,3.05,,25:01.900,13:59.960
55,/user/86973,David wcc Buckley wcc,,WESTERLEY ONE,True,4,,1503.4,841.453,2.99,UK,25:03.400,14:01.453
56,/user/301698,Gail Rob (tcc),,,,,,1511.9,849.995,3.96,,25:11.900,14:09.995
57,/user/317537,Sebastian Wojsyk,,,,,,1518.7,856.792,3.14,,25:18.700,14:16.792
58,/user/305234,Nuno GonÇalves,,,,,,1525.0,863.094,2.86,,25:25.000,14:23.094
59,/user/165681,Judith Newton (w),,,,,,1531.9,869.999,4.0,,25:31.900,14:29.999
60,/user/232488,Scott  Crichton ,,,,,,1533.0,871.084,3.28,Australia,25:33.000,14:31.084
61,/user/46469,Adam KonstaŃczuk ,,,,,,1533.2,871.318,3.27,,25:33.200,14:31.318
62,/user/221770,Rafael Nunez,,,,,,1536.2,874.304,3.18,,25:36.200,14:34.304
63,/user/123417,Mike Buckhurst,,,,,,1549.7,887.777,3.25,USA,25:49.700,14:47.777
64,/user/158346,Mark Vassalotti,,,,,,1556.6,894.648,2.5,,25:56.600,14:54.648
65,/user/141492,Knezevic Marko,,,,,,1564.5,902.607,2.39,,26:04.500,15:02.607
66,/user/101319,Martin Wilson,,,,,,1573.5,911.577,3.02,UK,26:13.500,15:11.577
67,/user/232622,Grant  Watson ,,,,,,1576.7,914.764,2.57,,26:16.700,15:14.764
68,/user/255577,Wendy Wonderwheels :),OTR-keas,,,,100,1595.5,933.561,3.43,,26:35.500,15:33.561
69,/user/91958,Gt Thakkar,,WESTERLEY ONE,False,5,,1596.6,934.739,3.01,UK,26:36.600,15:34.739
70,/user/278058,Claire  Miller (tcc),,TWICKENHAM CC LADIES,True,,98,1608.5,946.612,3.66,,26:48.500,15:46.612
71,/user/317382,Antti Hihnala,,,,,,1613.6,951.691,2.97,,26:53.600,15:51.691
72,/user/309202,Vito Vp,,,,,,1645.9,984.01,2.31,,27:25.900,16:24.010
73,/user/309485,Tony Sinnett,,,,,,1664.1,1002.162,2.67,,27:44.100,16:42.162
74,/user/66324,Gavin Grant tcc,,TWICKENHAM CC,True,,,1672.6,1010.717,2.15,,27:52.600,16:50.717
75,/user/95813,Lisa West tcc,,TWICKENHAM CC LADIES,True,,93,1722.3,1060.373,2.28,,28:42.300,17:40.373
76,/user/241536,Lynda Lynda v,OTR,,,,92,1725.4,1063.525,3.04,,28:45.400,17:43.525
77,/user/272778,Michael Ashurst (g),,,,,,1757.3,1095.436,2.59,,29:17.300,18:15.436
78,/user/285603,Icg Ic7,,,,,,1763.5,1101.59,2.23,,29:23.500,18:21.590
79,/user/43482,Coco Maisie,,,,,,1810.6,1148.709,2.0,,30:10.600,19:08.709
80,/user/291095,Wright Jessica ,,,,,,1841.1,1179.229,2.15,,30:41.100,19:39.229
81,/user/3964,L.  rowland (tcc),,TWICKENHAM CC LADIES,False,,87,1853.9,1192.022,1.84,,30:53.900,19:52.022
82,/user/270667,Gri Pulga,,,,,86,1878.7,1216.783,2.47,,31:18.700,20:16.783
,,Nathaniel  Kelly,,,,,,,,,,,
,/user/306628,Timothy Richardson,,,,,,,,,,,
,,Manfred Wallner,,,,,,,,,,,
,/user/183281,Chris Duffy bees,SDW,SOUTHBOROUGH (SDW) STINGERS,False,,,,,,UK,,
,/user/239903,Miguel Silva(o),,,,,,,,,,,
,/user/202292,Mike Fishpool,,,,,,,,,,,
,/user/295469,Jason Harding tcc,,,,,,,,,,,
,/user/259928,Nguyễn Chãi,,,,,,,,,,,
,,Cindy Gross,,,,,,,,,,,
,/user/285066,Paul Goodfellow (d),,,,,,,,,,,
,/user/57107,Laan Ragnar(tcc),,,,,,,,,,,
,/user/138802,David Thomas,,,,,,,,,UK,,
,/user/219215,Kaustav Bhattacharya,,,,,,,,,,,
,/user/192353,Kc Chano (a),,,,,,,,,,,
,,Guillaume Collet,,,,,,,,,,,
,/user/224721,Dan Spence (tpvcc),,,,,,,,,,,
,,Adina Irimioiu,,,,,,,,,,,
,,Maercin Baranowski,,,,,,,,,,,
,/user/155619,Pierre Massé,,,,,,,,,France,,
,/user/34519,Eddie Ryce,,,,,,,,,,,
,/user/267097,Darryl Green - wvs,,WATFORD VELO SPORT RT,False,,,,,,,,
,/user/315752,Paul Van bosch,,,,,,,,,,,
,/user/198611,Steve Smith (d),,,,,,,,,,,
,/user/224788,Jose Garcia,,,,,,,,,,,
,,David Scrivener,,,,,,,,,,,
,/user/221746,Tom Yates-ijaz,,WESTERLEY TWO,False,6,,,,,UK,,
