pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,time_secs,delta_secs,wkg
,/user/150787,Paul Hindson (c),,,,,,
,/user/87547,Nick Beale,,,,,,
,/user/215484,Dotty Watts,,,,,,
,/user/86836,Rob Bennett,,WESTERLEY THREE,True,,,
,/user/72623,Kevin Walker otr,dcc,,,,,
,,Vince Dey,,,,,,
,/user/31110,Leon Bond,,,,,,
,/user/91958,Gt Thakkar,,WESTERLEY THREE,False,,,
,/user/153498,Robertas  Šnioka,,,,,,
,/user/221746,Tom Yates-ijaz,,WESTERLEY FOUR,True,,,
,/user/241354,Srushti Desai,,,,,,
,/user/88613,Jerry Ball,,WESTERLEY THREE,False,,,
