pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,ladies_points,time_secs,delta_secs,wkg,country,time_human,delta_human
38,/user/70138,Andrew Beale c,,WESTERLEY TWO,True,2,,1307.8,54.518,3.61,UK,21:47.800,00:54.518
39,/user/20893,Daan Delva,,,,,,1307.9,54.556,4.37,,21:47.900,00:54.556
40,/user/267097,Darryl Green - wvs,,WATFORD VELO SPORT RT,True,,,1308.1,54.768,3.81,,21:48.100,00:54.768
41,/user/96645,Marcin SzkudlarekṀṚ,ṀṚ,SATELITE RIDERS,True,,,1308.2,54.92,3.87,Poland,21:48.200,00:54.920
42,/user/243207,Ian Sudds (m),,,,,,1308.3,54.927,3.81,,21:48.300,00:54.927
43,/user/66828,Even Oistensen 3r,3R,,,,,1308.3,55.013,3.66,,21:48.300,00:55.013
44,/user/175441,Tomas Nygren,,,,,,1314.5,61.136,3.0,Sweden,21:54.500,01:01.136
45,/user/254293,Philip Procter wlc,WahooLeCol,,,,,1319.1,65.812,3.9,,21:59.100,01:05.812
46,/user/21747,Matthew Feely,,,,,,1340.1,86.751,3.57,Eire,22:20.100,01:26.751
47,/user/94149,James Dicks,,,,,,1346.8,93.465,4.47,,22:26.800,01:33.465
48,/user/193695,Nico Pflueger,,,,,,1360.8,107.52000000000001,3.85,,22:40.800,01:47.520
49,/user/226270,Glen Thurgood,,,,,,1362.2,108.87100000000001,3.14,UK,22:42.200,01:48.871
50,/user/86973,David wcc Buckley wcc,,WESTERLEY ONE,True,3,,1362.3,108.997,3.18,UK,22:42.300,01:48.997
51,/user/189383,Richard Howell,,,,,,1362.4,109.09100000000001,2.95,,22:42.400,01:49.091
52,/user/55374,Andrew Goff,ṀṚ,SATELITE RIDERS,True,,,1362.4,109.098,3.76,,22:42.400,01:49.098
53,/user/274579,Jonathan Frost [tcc],,TWICKENHAM CC,True,,,1362.9,109.61099999999999,4.03,,22:42.900,01:49.611
54,/user/269388,Bert Courtyn,,,,,,1363.2,109.834,3.48,,22:43.200,01:49.834
55,/user/222863,La A.terrehaute,,,,,,1363.5,110.134,3.56,,22:43.500,01:50.134
56,/user/264959,Sebastian Marghella,,,,,,1363.5,110.21600000000001,3.59,,22:43.500,01:50.216
57,/user/170063,Marco Verhoogt,,,,,,1363.6,110.294,3.78,Netherlands,22:43.600,01:50.294
58,/user/128814,Tim Cummins,,WESTERLEY ONE,True,4,,1388.0,134.67,3.33,UK,23:08.000,02:14.670
59,/user/101319,Martin Wilson,,,,,,1399.3,145.937,3.33,UK,23:19.300,02:25.937
60,/user/192296,Christophe Mathieu,,,,,,1416.2,162.909,3.11,,23:36.200,02:42.909
61,/user/162796,Cees De jong,,,,,,1417.1,163.734,3.32,,23:37.100,02:43.734
62,/user/236801,Euan Lamont,,,,,,1417.8,164.445,3.49,,23:37.800,02:44.445
63,/user/164522,Andrew Rimmington,,,,,,1419.3,166.002,3.3,,23:39.300,02:46.002
64,/user/91958,Gt Thakkar,,WESTERLEY ONE,False,5,,1419.7,166.4,3.14,UK,23:39.700,02:46.400
65,/user/221770,Rafael Nunez,,,,,,1460.4,207.049,3.05,,24:20.400,03:27.049
66,/user/51825,Marc Arc fawcett,,,,,,1464.4,211.031,3.0,,24:24.400,03:31.031
67,/user/42729,Cameron Lees,,,,,,1509.6,256.236,3.61,,25:09.600,04:16.236
68,/user/237208,Guillaume Gibert,,,,,,1587.6,334.26800000000003,3.14,,26:27.600,05:34.268
69,/user/278058,Claire  Miller,,TWICKENHAM CC LADIES,True,,100,1590.0,336.7,3.39,,26:30.000,05:36.700
70,/user/77406,Pj Tcc,,,,,,1600.9,347.538,2.54,,26:40.900,05:47.538
71,/user/95813,Lisa West tcc,,TWICKENHAM CC LADIES,True,,98,1684.1,430.805,2.08,,28:04.100,07:10.805
72,/user/170946,Maik Schlien,,,,,,1719.4,466.113,2.39,,28:39.400,07:46.113
73,/user/278269,Joanne Maltby,,,,,96,1854.6,601.294,1.89,,30:54.600,10:01.294
74,/user/186220,Jay Te,,,,,,2013.0,759.691,1.62,,33:33.000,12:39.691
75,/user/226054,Jeff Peeters,,,,,,2023.5,770.158,1.58,,33:43.500,12:50.158
