pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,ladies_points,time_secs,delta_secs,wkg,country,time_human,delta_human
50,/user/301698,Gail Rob (tcc),,,,,,1535.6,176.18200000000002,4.35,,25:35.600,02:56.182
51,/user/198978,Harry Smits,,,,,,1549.6,190.213,3.88,,25:49.600,03:10.213
52,/user/201677,Andrew  Sutherland ,,,,,,1560.2,200.784,3.56,,26:00.200,03:20.784
53,/user/202292,Mike Fishpool,,,,,,1562.3,202.835,3.13,,26:02.300,03:22.835
54,/user/267839,Bjørn Hetland,,,,,,1574.7,215.236,2.83,,26:14.700,03:35.236
55,/user/139027,Rich Blanchard (c),,,,,,1576.2,216.785,3.28,,26:16.200,03:36.785
56,/user/221746,Tom Yates-ijaz,,WESTERLEY TWO,True,5,,1581.2,221.824,3.3,UK,26:21.200,03:41.824
57,/user/323397,Street Punk,,,,,,1582.8,223.374,3.42,,26:22.800,03:43.374
58,/user/69270,Fredrik Meyer-lampe,,,,,,1584.6,225.156,3.25,,26:24.600,03:45.156
59,/user/278058,Claire  Miller (tcc),,TWICKENHAM CC LADIES,True,,86,1585.5,226.091,3.92,,26:25.500,03:46.091
60,/user/91958,Gt Thakkar,,WESTERLEY ONE,False,6,,1633.5,274.095,3.07,UK,27:13.500,04:34.095
61,/user/221770,Rafael Nunez,,,,,,1658.2,298.738,3.15,,27:38.200,04:58.738
62,/user/212360,Jacques  Silva ,,,,,,1663.4,303.953,3.28,,27:43.400,05:03.953
63,/user/3070,Kyle Macfarlane,,,,,,1677.1,317.675,2.64,,27:57.100,05:17.675
64,/user/288803,Rob Gilmour,,,,,,1684.9,325.471,3.21,,28:04.900,05:25.471
65,/user/232622,Grant  Watson ,,,,,,1695.6,336.169,2.42,,28:15.600,05:36.169
66,/user/101319,Martin Wilson,,,,,,1701.3,341.9,2.87,UK,28:21.300,05:41.900
67,/user/186942,Mikolaj Biernacki,,,,,,1704.3,344.921,2.77,,28:24.300,05:44.921
68,/user/123417,Mike Buckhurst,,,,,,1706.2,346.823,2.87,USA,28:26.200,05:46.823
69,/user/168743,Agustin Crespo,,,,,,1710.8,351.379,3.04,,28:30.800,05:51.379
70,/user/255577,Wendy Wonderwheels :),RI,,,,75,1717.7,358.252,3.06,,28:37.700,05:58.252
71,/user/309202,Vito Vp,,,,,,1717.8,358.415,2.42,,28:37.800,05:58.415
72,/user/33116,Jens Schmidt,,,,,,1762.9,403.509,2.53,,29:22.900,06:43.509
73,/user/289203,Rick Van der laan,,,,,,1795.4,436.001,2.74,,29:55.400,07:16.001
74,/user/259826,Tracy Corken,,,,,,1798.6,439.178,3.07,,29:58.600,07:19.178
75,/user/95813,Lisa West tcc,,TWICKENHAM CC LADIES,True,,70,1801.6,442.185,2.25,,30:01.600,07:22.185
76,/user/77406,Pj Tcc,,,,,,1825.6,466.133,2.23,,30:25.600,07:46.133
77,/user/66324,Gavin Grant tcc,,TWICKENHAM CC,True,,,1825.8,466.395,1.95,,30:25.800,07:46.395
78,/user/43482,Coco Maisie,,,,,,1830.7,471.287,2.07,,30:30.700,07:51.287
79,/user/241536,Lynda Lynda v,R2CN,,,,66,1878.1,518.716,2.8,,31:18.100,08:38.716
80,/user/291095,Wright Jessica ,,,,,,1984.4,624.94,2.07,,33:04.400,10:24.940
